,,,,,,,,,,
Breads,"₹12,171.89","₹11,333.74","₹13,222.52","₹36,728.15",,,,,,
Breakfast,"₹5,819.35","₹1,555.05","₹9,066.98","₹16,441.38",,,,,,
Canned,"₹36,205.09","₹31,788.41","₹22,634.77","₹90,628.28",,,,,,
Dairy,"₹25,496.69","₹28,438.65","₹39,931.48","₹93,866.83",,,,,,
Frozen Foods,"₹21,329.75","₹36,979.55","₹60,227.02","₹118,536.33",,,,,,
Fruits and Vegetables,"₹49,882.02","₹57,724.29","₹68,677.37","₹176,283.69",,,,,,
Hard Drinks,"₹9,137.36","₹9,450.28","₹11,773.60","₹30,361.23",,,,,,
Health and Hygiene,"₹15,341.56","₹27,265.16","₹30,213.77","₹72,820.49",,,,,,
Household,"₹35,027.49","₹41,247.29","₹51,453.57","₹127,728.36",,,,,,
Meat,"₹51,326.28","₹3,056.97","₹3,447.11","₹57,830.36",,,,,,
Others,"₹24,075.45",,,"₹24,075.45",,,,,,
Seafood,"₹8,750.58",,,"₹8,750.58",,,,,,
Snack Foods,"₹14,668.32","₹110,293.52","₹49,083.86","₹174,045.70",,,,,,
Soft Drinks,,,"₹61,793.66","₹61,793.66",,,,,,
Starchy Foods,,,"₹21,073.08","₹21,073.08",,,,,,
Grand Total,"₹336,397.80","₹393,150.64","₹472,133.02","₹1,201,681.46",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Outlet Establishment Year,SUM of Sales,TRUE,DashBoard,,,,,,,
2011,"₹78,131.56",,,,,,,,,
2012,"₹130,476.86",,,,,,,,,
2014,"₹131,809.01",,,,,,,,,
2015,"₹130,942.78",,,,,,,,,
2016,"₹132,113.37",,,,,,,,,
2017,"₹133,103.90",,,,,,,,,
2018,"₹204,522.24",,,,,,,,,
2020,"₹129,103.96",,,,,,,,,
2022,"₹131,477.77",,,,,,,,,
Grand Total,"₹1,201,681.46",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Item Type,AVERAGE of Visibility Efficiency,,,,,,,,,
Baking Goods,32.28,,,,,,,,,
Breads,33.15,,,,,,,,,
Breakfast,24.86,,,,,,,,,
Canned,35.51,,,,,,,,,
Dairy,32.60,,,,,,,,,
Frozen Foods,36.23,,,,,,,,,
Fruits and Vegetables,32.38,,,,,,,,,
Hard Drinks,41.54,,,,,,,,,
Health and Hygiene,38.93,,,,,,,,,
Household,42.30,,,,,,,,,
Meat,42.74,,,,,,,,,
Others,47.86,,,,,,,,,
Seafood,28.09,,,,,,,,,
Snack Foods,36.23,,,,,,,,,
Soft Drinks,34.26,,,,,,,,,
Starchy Foods,41.43,,,,,,,,,
Grand Total,36.22,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Outlet Age,SUM of Sales,,,,,,,,,
1,"₹131,477.77",,,,,,,,,
3,"₹129,103.96",,,,,,,,,
5,"₹204,522.24",,,,,,,,,
6,"₹133,103.90",,,,,,,,,
7,"₹132,113.37",,,,,,,,,
8,"₹130,942.78",,,,,,,,,
9,"₹131,809.01",,,,,,,,,
11,"₹130,476.86",,,,,,,,,
12,"₹78,131.56",,,,,,,,,
Grand Total,"₹1,201,681.46",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
COUNTUNIQUE of Outlet Identifier,,,,,,,,,,
10,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
AVERAGE of Outlet Age,,,,,,,,,,
6.549454417,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Outlet Identifier,SUM of Sales,,,,,,,,,
OUT010,"₹78,131.56",,,,,,,,,
OUT013,"₹131,809.01",,,,,,,,,
OUT017,"₹129,103.96",,,,,,,,,
OUT018,"₹131,477.77",,,,,,,,,
OUT019,"₹73,807.57",,,,,,,,,
OUT027,"₹130,714.67",,,,,,,,,
OUT035,"₹133,103.90",,,,,,,,,
OUT045,"₹130,942.78",,,,,,,,,
OUT046,"₹132,113.37",,,,,,,,,
OUT049,"₹130,476.86",,,,,,,,,
Grand Total,"₹1,201,681.46",,,,,,,,,
,,,,,,,,,,
OUT035,,,,,,,,,,
