Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating,Outlet Age,Visibility Efficiency
Regular,FDZ47,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.078912473,10.5,159.095,5,8,20.16094465
Low Fat,FDD48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030219852,9.3,104.296,5,11,34.51241257
Regular,FDR36,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.121832956,20.75,150.568,5,12,12.35856085
Low Fat,FDO24,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.176069023,19.2,239.22,5,9,13.58671707
Low Fat,FDQ24,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.073605395,18.1,127.334,5,6,17.29954713
Regular,FDY12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.062343432,17.5,256.33,5,11,41.11579869
Low Fat,FDK24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.10080442,10.5,235.525,5,11,23.36455088
Low Fat,FDN48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.113720344,7.975,82.425,5,11,7.248043499
Regular,FDJ60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.062655235,10,264.623,5,11,42.23477895
Regular,FDP48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.044091657,10.1,114.915,5,11,26.06275378
Regular,FDA35,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.053921264,8.93,152.234,5,11,28.23264677
Regular,FDU24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.140163038,7.3,147.208,5,11,10.50262623
Low Fat,FDP60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.056235142,7.93,122.141,5,11,21.71969264
Regular,FDG12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00636189,15.35,62.7168,5,11,98.58202515
Low Fat,FDG60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.060649213,19.35,120.91,5,11,19.93595531
Regular,FDX36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.128176489,9.5,111.123,5,11,8.66953065
Regular,FDB36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.062343432,10.5,39.2164,5,11,6.29038196
Low Fat,FDR60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.131152799,15.6,111.952,5,11,8.535997772
Low Fat,FDZ60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.119547387,5.88,153.9,5,11,12.87355616
Low Fat,FDQ12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.035410748,8.88,153.368,5,11,43.31114384
Low Fat,FDR48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.131770922,10.6,84.7224,5,11,6.429521682
Low Fat,FDL36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.076229769,6.13,110.091,5,11,14.44199575
Low Fat,FDR48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.132248069,6.38,144.947,5,11,10.96023565
Low Fat,FDO12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.055241242,9.195,107.762,5,11,19.50752664
Regular,FDM12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.070312473,11.3,180.766,5,11,25.70895209
Regular,FDI48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.062343432,12.6,186.956,5,11,29.98808279
Regular,FDT12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.083056555,17.25,253.472,5,11,30.51800066
Regular,FDW12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.059540542,19.1,41.9796,5,11,7.050590839
Low Fat,FDH48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.062343432,9.8,126.302,5,11,20.25907076
Low Fat,FDN12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.062343432,7.905,249.641,5,11,40.04287092
Regular,FDF24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02524761,10.8,239.222,5,11,94.75035459
Low Fat,FDW24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.037315469,12.1,147.573,5,11,39.54740593
Low Fat,FDI24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.078362484,15.5,261.757,5,11,33.40335664
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014618973,20.7,99.8042,5,11,68.27032241
Low Fat,FDX23,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.029691762,8,247.409,5,11,83.32580599
Low Fat,FDA36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.005677876,19.5,85.554,5,11,150.6795851
Regular,FDJ12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.039101813,14,145.479,5,11,37.20518023
Regular,FDX11,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.106918052,20.25,194.279,5,11,18.17083237
Regular,FDJ60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.062625641,11.3,257.296,5,11,41.0847691
Regular,FDB37,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.022976493,11.6,172.411,5,11,75.03799644
Low Fat,FDX24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.024387984,16,87.0856,5,11,35.7084046
Low Fat,FDP60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.062343432,10.195,197.111,5,11,31.61696328
Low Fat,FDZ48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.075959623,13.65,37.9532,5,11,4.996496626
Low Fat,FDA23,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.047453947,9.6,259.23,5,11,54.62770041
Low Fat,FDT36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.111500259,10.695,73.5038,5,11,6.592253745
Low Fat,FDQ12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.035482562,12.3,59.1562,5,11,16.67190774
Low Fat,FDK48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.037845086,11.395,50.3034,5,11,13.29192382
Low Fat,FDH48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.06082246,12.35,78.2328,5,11,12.86248534
Regular,FDT12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.049722335,20.7,94.9436,5,11,19.09475892
Regular,FDA47,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.11733375,12.6,108.228,5,5,9.223944517
Regular,FDL12,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.121609722,12.6,120.544,5,5,9.912365395
Regular,FDZ59,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.174110803,12.6,263.188,5,5,15.1161212
Low Fat,FDK36,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.00720931,12.6,109.723,5,5,152.1962573
Low Fat,FDS48,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.027756137,12.6,150.373,5,5,54.17648717
Regular,FDJ12,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.039008625,12.6,167.547,5,5,42.95127039
Regular,FDV48,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.051827123,12.6,148.273,5,5,28.60915124
Regular,FDK60,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.094246644,12.6,123.473,5,5,13.10105005
Regular,FDL12,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.121531501,12.6,145.976,5,5,12.01137144
Regular,FDV60,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.11679292,12.6,210.524,5,5,18.0254077
Regular,FDR24,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.062979148,12.6,189.753,5,5,30.12949619
Low Fat,FDQ24,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.12898088,12.6,244.346,5,5,18.94435826
Low Fat,FDU36,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.046342889,12.6,194.711,5,5,42.01529171
Regular,FDU24,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.062343432,12.6,167.784,5,5,26.91285908
Regular,FDV48,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.051697108,12.6,140.318,5,5,27.14233067
Regular,FDI12,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.100555034,12.6,34.2216,5,5,3.403270691
Regular,FDI48,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.055805027,12.6,232.73,5,5,41.7041282
Low Fat,FDO36,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.136417078,12.6,107.162,5,5,7.855468067
Low Fat,FDU36,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.081014461,12.6,179.198,5,5,22.11926091
Low Fat,FDZ60,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.208987123,12.6,101.399,5,5,4.851925733
Regular,FDU24,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.245407386,12.6,173.874,5,5,7.085116827
Low Fat,FDW24,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.03749705,12.6,103.767,5,5,27.67337697
Low Fat,FDT36,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.111274591,12.6,83.7566,5,5,7.527019353
Low Fat,FDS60,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.032448523,20.6,119.476,5,7,36.8201659
Regular,FDP48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.044023213,6.425,115.881,5,7,26.32270389
Regular,FDW12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.035572183,7,107.728,5,7,30.28433762
Regular,FDM36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.058730831,16.5,208.864,5,7,35.56292265
Regular,FDU12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.07575107,8.93,154.534,5,7,20.40023989
Low Fat,FDA48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.115107028,12.6,36.1874,5,7,3.143804564
Low Fat,FDE24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.093652168,17.5,264.491,5,7,28.24184487
Low Fat,FDW48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.008558144,13.1,175.505,5,7,205.0736702
Low Fat,FDK36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.007256127,16.1,252.336,5,7,347.7557656
Low Fat,FDV36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.026450779,15,140.284,5,7,53.03586711
Regular,FDE36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.042008667,17.6,234.659,5,7,55.85966344
Regular,FDM24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.079776075,16.35,198.211,5,7,24.84592028
Regular,FDY11,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.029727657,17.6,182.698,5,7,61.45724838
Regular,FDY24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.062343432,19.25,32.4558,5,7,5.205969412
Low Fat,FDN12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.13575135,20.35,76.1328,5,7,5.60825362
Low Fat,FDO60,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.057527544,6.17,65.9826,5,7,11.46974048
Regular,FDB49,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.05046718,16.35,165.784,5,7,32.84986401
Regular,FDY12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.235354055,17.7,182.627,5,7,7.75967085
Low Fat,FDR48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.131394793,17.85,122.807,5,7,9.346412989
Regular,FDT12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.049580407,18.6,161.024,5,7,32.47734534
Regular,FDZ59,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.103935018,19.6,166.153,5,7,15.98623863
Regular,FDY11,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.029535852,13.85,143.315,5,7,48.52238561
Regular,FDI48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.055672032,15.85,58.7904,5,7,10.56013188
Low Fat,FDH48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.062343432,9.395,89.6856,5,7,14.38573353
Low Fat,FDL36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.076385385,9.8,36.9874,5,7,4.842209017
Low Fat,FDZ48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.07626905,21.1,130.499,5,7,17.11034817
Low Fat,FDO60,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.062343432,8.1,88.6198,5,7,14.21477727
Regular,FDX48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.038042233,11.35,182.561,5,7,47.98903366
Low Fat,FDX60,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.080203852,9.195,53.1666,5,7,6.628933483
Low Fat,FDE24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.093010026,11.5,100.836,5,7,10.84141187
Low Fat,FDJ48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.056161529,19.6,49.9376,5,7,8.891780706
Low Fat,FDO60,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.034203092,9.195,106.36,5,7,31.09660378
Low Fat,FDR48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.130867413,7.42,184.658,5,7,14.11031179
Low Fat,FDW24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.065652494,17.35,150.405,5,7,22.90925917
Low Fat,FDK24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.062343432,5.34,99.5358,5,7,15.96572354
Regular,FDL48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.082197959,6.385,37.1874,5,7,4.524126931
Low Fat,FDA23,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.047187038,17.25,171.576,5,8,36.36083282
Regular,FDL24,Baking Goods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.024776026,12.15,39.1506,5,3,15.80180776
Low Fat,FDZ12,Baking Goods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.103138922,15.35,91.912,5,3,8.911475728
Low Fat,FDA23,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.047260402,12,124.639,5,8,26.37281841
Low Fat,FDO12,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.055015935,14.1,56.1956,5,8,10.21442242
Low Fat,FDH24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.021464454,8.06,232.033,5,8,108.1010493
Regular,FDB49,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.030198228,14.1,140.25,5,8,46.44312242
Low Fat,FDO24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.062343432,19.2,89.7488,5,8,14.39587092
Low Fat,FDK24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.177354373,13.8,247.48,5,8,13.95398353
Low Fat,FDN60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.166609517,9.065,96.0094,5,8,5.762539963
Low Fat,FDW36,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.099681705,14.3,83.6224,5,8,8.388941582
Low Fat,FDZ12,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.102978817,5.98,146.142,5,8,14.19146231
Regular,FDS36,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.04688734,10.5,36.8164,5,8,7.852098242
Regular,FDJ60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.062528426,13.1,175.805,5,8,28.11601239
Regular,FDB37,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.022940826,14.7,48.6034,5,8,21.1864211
Low Fat,FDK48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.037708542,17.5,184.827,5,8,49.0146238
Low Fat,FDZ48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.076113671,19.1,233.896,5,8,30.72982776
Low Fat,FDP24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.083172413,19.85,125.602,5,8,15.10140147
Low Fat,FDJ48,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.056754036,9.8,116.449,5,8,20.51818835
Low Fat,FDH24,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.021552357,10.8,190.021,5,8,88.16715499
Regular,FDL24,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02494708,11.8,79.1618,5,8,31.73189006
Regular,FDT24,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.186236236,5.88,148.439,5,8,7.970468218
Low Fat,FDW23,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.081996785,6.775,84.625,5,8,10.32052659
Regular,FDP12,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.045258247,8.42,216.419,5,8,47.81868816
Regular,FDF24,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02536567,10,251.675,5,8,99.21874723
Regular,FDB37,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.022936488,19.1,173.942,5,8,75.83637042
Low Fat,FDP24,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.13893181,19.75,104.233,5,8,7.502457501
Regular,FDI60,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.064141866,12.85,172.442,5,8,26.88446887
Regular,FDX48,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.063416566,16,142.65,5,8,22.49412243
Low Fat,FDN12,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.081036436,5,189.853,5,8,23.42810338
Regular,FDV48,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.051573903,5.73,188.19,5,8,36.48938495
Regular,FDT24,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.185704641,7.81,246.049,5,8,13.24948039
Regular,FDR12,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03150851,14.35,79.196,5,3,25.13479692
Regular,FDS24,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.062172698,6.465,266.888,5,3,42.92688086
Low Fat,FDZ12,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.103398309,15.85,94.4094,5,3,9.130652224
Low Fat,FDN48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.065215312,19.85,264.588,5,3,40.57145353
Low Fat,FDO12,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.055154296,7.5,239.691,5,3,43.45826479
Regular,FDO48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.026950104,12.3,191.216,5,3,70.95185978
Low Fat,FDN24,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.112718928,18.6,243.68,5,3,21.61837451
Low Fat,FDA23,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.046958533,7.72,79.1986,5,3,16.86564612
Low Fat,FDA36,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005638944,8.185,49.9692,5,3,88.61446398
Low Fat,FDK48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.037449987,16.35,50.8324,5,3,13.57340925
Low Fat,FDZ60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.118783796,9.5,223.509,5,3,18.8164554
Regular,FDA35,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.05357685,12.1,178.366,5,3,33.29161755
Regular,FDM24,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.078943221,16.6,173.342,5,3,21.95780686
Regular,FDU12,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.075384242,5.175,33.5874,5,3,4.455493497
Regular,FDW12,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.035399923,5.4,163.053,5,3,46.06026968
Regular,FDC60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.115119905,11.395,149.271,5,3,12.96656734
Regular,FDR24,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.062799379,18.75,108.128,5,3,17.21800466
Low Fat,FDX60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.08075758,6.36,163.053,5,3,20.19042671
Regular,FDM60,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.048143292,14.6,179.698,5,3,37.32565692
Regular,FDP48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.043810028,20.25,246.446,5,3,56.25333086
Regular,FDM36,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.058446424,20.7,73.9354,5,3,12.65011526
Low Fat,FDZ48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.07607772,19.35,173.874,5,3,22.85478587
